time, uz, alt, vel_alt, uthe, roll, uphi, pitch, upsi, yaw, ux, pos_x, vel_x, uy, pos_y, vel_y, Fz, Fx, Fy
[20.350000000000154, 0.5537197120533697, 4.70160436630249, 0.07821154594421387, -0.06919143575520739, 0.011427614006344924, 0.20326478546927065, 0.0066573359571551255, 0.0, -0.0833744843171244, 0.08351509720087051, 6.969824314117432, 0.8390226364135742, 0.02867105940564083, -3.4873178005218506, -0.4684058129787445, -2.445913227952762e-11, 2.726584726912739e-43, -3.932522180457094e-08]
[20.400000000000155, 0.5146182664060215, 4.7083210945129395, 0.15891548991203308, -0.3622264551158442, -0.0024177678581090672, 1.0686455270564936, 0.09926347042413668, 0.0, -0.0651100687536755, 0.07794975727796555, 7.019091606140137, 0.8747258186340332, 0.03369897719317555, -3.520430564880371, -0.46940672397613525, -5.923807336562758e-11, 6.40802828673584e-44, -2.6388757098520663e-08]
[20.450000000000156, 0.48571893507290753, 4.718969821929932, 0.15826530754566193, 0.19062776762886915, -0.02012902729748833, -0.29800950109471513, 0.13291109244862467, 0.0, -0.043457883897382345, 0.0691215768456459, 7.07844352722168, 0.9307860732078552, 0.04542790943686259, -3.5575435161590576, -0.4655594527721405, -5.945502852035716e-11, 2.2160465815020878e-44, -2.0250351139581297e-08]
[20.500000000000156, 0.4707577032128717, 4.724120140075684, 0.1849825084209442, 0.12832453029919355, -0.03311134056929122, -0.1749517930680449, 0.16215140142625672, 0.0, -0.037896187978489454, 0.06428679019212723, 7.10814905166626, 0.971560537815094, 0.04765668770756262, -3.5742053985595703, -0.45771118998527527, -5.1290451620228495e-11, 3.6986152875921137e-45, -1.3892223279926864e-08]
[20.550000000000157, 0.4476097601364525, 4.7311930656433105, 0.2029707282781601, 0.09839294489506664, -0.07645137238292028, -0.0737832754329042, 0.26491099268433244, 0.0, -0.030470513148844934, 0.04274149507284164, 7.1477885246276855, 1.0636610984802246, 0.05723405610018995, -3.594339370727539, -0.4322573244571686, -7.005034693855765e-11, 7.333325870550853e-46, -1.1116533401714064e-08]
[20.600000000000158, 0.41947718285450275, 4.7448015213012695, 0.267851859331131, 0.06862253393914781, -0.1858208559545726, -0.03564871902112273, 0.3537256129808093, 0.0, -0.015341829742874223, 0.02992072008550167, 7.217374801635742, 1.2904953956604004, 0.057699135736583244, -3.620340347290039, -0.32849445939064026, -9.639533406057931e-11, 2.0389675705438303e-47, -8.402829916430285e-09]
[20.65000000000016, 0.437152896402345, 4.759533882141113, 0.18391498923301697, 0.07485840860814125, -0.18379438628851313, 0.0038659806785832514, 0.18977241170201264, 0.0, 0.04983239671008963, -0.0026101180911064156, 7.309611797332764, 1.4230482578277588, 0.05063542303294457, -3.640363931655884, -0.1912473738193512, -3.994997514643976e-11, 4.9594862260411864e-49, -5.965602428980818e-09]
[20.70000000000016, 0.4631056746928194, 4.763655662536621, 0.10279473662376404, 0.11499303581649342, -0.12475457418297828, 0.015270863443744346, 0.14018566438070784, 0.0, 0.06345990815837099, -0.0066374868154525785, 7.355109214782715, 1.4406880140304565, 0.05020520080405309, -3.6468262672424316, -0.1580236852169037, -1.4985713055368864e-11, 1.2013942304141247e-49, -5.2435648958622895e-09]
[20.75000000000016, 0.5205625784902473, 4.764875888824463, -0.012260496616363525, -0.4978450350215569, -0.03872496037546771, -0.13836983964865124, 0.0782084332656284, 0.0, 0.07353924086217295, -0.013632690012454991, 7.412424087524414, 1.4445414543151855, 0.05371957067869512, -3.6538760662078857, -0.1445886492729187, -2.99282883727698e-12, 2.38554721373228e-50, -4.692950771349324e-09]
[20.80000000000016, 0.5955716224518822, 4.757351875305176, -0.18450620770454407, -0.0711276308543981, 0.04751373031765437, -0.023614583005852893, 0.020780895742763362, 0.0, 0.0745091827503574, -0.01873168349266053, 7.497236251831055, 1.4289913177490234, 0.05652082458549798, -3.6666364669799805, -0.162638857960701, -1.6305795614506756e-13, 2.630105853812123e-51, -4.113317810802115e-09]
[20.85000000000016, 0.607903859923, 4.748631477355957, -0.18348920345306396, -0.06619901708963867, 0.062401963104303855, -0.024279690761019757, 0.01144997082203321, 0.0, 0.07063756857801626, -0.02203506529331207, 7.553099632263184, 1.4135617017745972, 0.0601728326120214, -3.676086664199829, -0.19096052646636963, -1.864542167355369e-13, 6.365481043492048e-52, -3.798436649581044e-09]
[20.900000000000162, 0.6366082459516315, 4.737281322479248, -0.12859374284744263, -0.05242354377891837, -0.1100504720839595, -0.019216850404115856, -0.015702087097246947, 0.0, 0.05579734417461242, -0.022551928758621213, 7.635534763336182, 1.370714783668518, 0.06158184401994319, -3.69038724899292, -0.16091729700565338, -2.2593787268214062e-13, 9.230284711451596e-53, -3.033583832744143e-09]
[20.950000000000163, 0.58116494745658, 4.732809066772461, -0.053992293775081635, -0.0836346071338266, -0.16978937104580533, -0.03480134159994833, -0.021827382267743153, 0.0, 0.044064158791065615, -0.022962730228900906, 7.688865661621094, 1.3315895795822144, 0.055324242471341156, -3.6970160007476807, -0.0860268846154213, -2.3452729051370245e-12, 2.866308330156783e-53, -2.4178205691891824e-09]
[21.000000000000163, 0.5711173292941907, 4.731431007385254, 0.04834768548607826, -0.09274516144517923, -0.11933571327380528, -0.03907449907690392, -0.011422231960062075, 0.0, 0.027687784823711235, -0.022144451141357428, 7.766417503356934, 1.28459894657135, 0.052725536443235535, -3.7013356685638428, 0.00368737755343318, -4.8273110002543125e-12, 4.598747941150571e-54, -1.8050819845661038e-09]
